BST Size, # Threads, Sec, Ops/s, Speedup
16, 1, 1.00, 26446000, 1.00
16, 2, 1.00, 59757000, 2.26
16, 3, 1.00, 93053000, 3.52
16, 4, 1.00, 125249000, 4.74
16, 5, 1.00, 153661000, 5.81
16, 6, 1.00, 187521000, 7.09
16, 7, 1.00, 218332000, 8.26
16, 8, 1.00, 253162000, 9.57
16, 9, 1.00, 276732000, 10.46
16, 10, 1.00, 296708000, 11.22
16, 11, 1.00, 315146000, 11.92
16, 12, 1.00, 335163000, 12.67
16, 13, 1.00, 353724000, 13.38
16, 14, 1.00, 373243000, 14.11
16, 15, 1.00, 391502000, 14.80
16, 16, 1.00, 410270000, 15.51
16, 17, 1.00, 367775000, 13.91
16, 18, 1.00, 376882000, 14.25
16, 19, 1.00, 361888000, 13.68
16, 20, 1.00, 325674000, 12.31
16, 21, 1.00, 302386000, 11.43
16, 22, 1.00, 300991000, 11.38
16, 23, 1.01, 284332000, 10.75
16, 24, 1.01, 271531000, 10.27
16, 25, 1.00, 217516000, 8.22
16, 26, 1.00, 243136000, 9.19
16, 27, 1.00, 233817000, 8.84
16, 28, 1.00, 236884000, 8.96
16, 29, 1.00, 226844000, 8.58
16, 30, 1.02, 232211000, 8.78
16, 31, 1.00, 200445000, 7.58
16, 32, 1.00, 208302000, 7.88
256, 1, 1.00, 33698000, 1.27
256, 2, 1.00, 63755000, 2.41
256, 3, 1.00, 98072000, 3.71
256, 4, 1.00, 130299000, 4.93
256, 5, 1.00, 155727000, 5.89
256, 6, 1.00, 186122000, 7.04
256, 7, 1.00, 218805000, 8.27
256, 8, 1.00, 255446000, 9.66
256, 9, 1.00, 277767000, 10.50
256, 10, 1.00, 296596000, 11.22
256, 11, 1.00, 316226000, 11.96
256, 12, 1.00, 335330000, 12.68
256, 13, 1.00, 353992000, 13.39
256, 14, 1.00, 373880000, 14.14
256, 15, 1.00, 392990000, 14.86
256, 16, 1.00, 408421000, 15.44
256, 17, 1.01, 391108000, 14.79
256, 18, 1.00, 388524000, 14.69
256, 19, 1.00, 343090000, 12.97
256, 20, 1.00, 308348000, 11.66
256, 21, 1.00, 332618000, 12.58
256, 22, 1.00, 312920000, 11.83
256, 23, 1.00, 280312000, 10.60
256, 24, 1.01, 271885000, 10.28
256, 25, 1.00, 280008000, 10.59
256, 26, 1.00, 256781000, 9.71
256, 27, 1.01, 253127000, 9.57
256, 28, 1.00, 240752000, 9.10
256, 29, 1.01, 249879000, 9.45
256, 30, 1.00, 229490000, 8.68
256, 31, 1.01, 232622000, 8.80
256, 32, 1.01, 218157000, 8.25
4096, 1, 1.00, 33697000, 1.27
4096, 2, 1.00, 64492000, 2.44
4096, 3, 1.00, 98897000, 3.74
4096, 4, 1.00, 133283000, 5.04
4096, 5, 1.00, 155117000, 5.87
4096, 6, 1.00, 186461000, 7.05
4096, 7, 1.00, 218196000, 8.25
4096, 8, 1.00, 257111000, 9.72
4096, 9, 1.00, 277364000, 10.49
4096, 10, 1.00, 296096000, 11.20
4096, 11, 1.00, 315898000, 11.95
4096, 12, 1.00, 334514000, 12.65
4096, 13, 1.00, 353243000, 13.36
4096, 14, 1.00, 371431000, 14.04
4096, 15, 1.00, 390230000, 14.76
4096, 16, 1.00, 401806000, 15.19
4096, 17, 1.00, 377410000, 14.27
4096, 18, 1.00, 333578000, 12.61
4096, 19, 1.00, 323970000, 12.25
4096, 20, 1.01, 321979000, 12.17
4096, 21, 1.00, 284324000, 10.75
4096, 22, 1.00, 305082000, 11.54
4096, 23, 1.00, 283997000, 10.74
4096, 24, 1.00, 267691000, 10.12
4096, 25, 1.00, 274666000, 10.39
4096, 26, 1.00, 246372000, 9.32
4096, 27, 1.00, 225719000, 8.54
4096, 28, 1.01, 246641000, 9.33
4096, 29, 1.00, 215218000, 8.14
4096, 30, 1.01, 245947000, 9.30
4096, 31, 1.01, 216818000, 8.20
4096, 32, 1.01, 209204000, 7.91
65536, 1, 1.00, 33545000, 1.27
65536, 2, 1.00, 65026000, 2.46
65536, 3, 1.00, 99110000, 3.75
65536, 4, 1.00, 132143000, 5.00
65536, 5, 1.00, 156863000, 5.93
65536, 6, 1.00, 189433000, 7.16
65536, 7, 1.00, 222291000, 8.41
65536, 8, 1.00, 260097000, 9.84
65536, 9, 1.00, 279615000, 10.57
65536, 10, 1.00, 296027000, 11.19
65536, 11, 1.00, 319141000, 12.07
65536, 12, 1.00, 338549000, 12.80
65536, 13, 1.00, 358786000, 13.57
65536, 14, 1.00, 379299000, 14.34
65536, 15, 1.00, 392463000, 14.84
65536, 16, 1.00, 404857000, 15.31
65536, 17, 1.00, 382321000, 14.46
65536, 18, 1.00, 370070000, 13.99
65536, 19, 1.00, 357909000, 13.53
65536, 20, 1.00, 291905000, 11.04
65536, 21, 1.00, 327092000, 12.37
65536, 22, 1.00, 316086000, 11.95
65536, 23, 1.00, 320724000, 12.13
65536, 24, 1.01, 249630000, 9.44
65536, 25, 1.00, 265006000, 10.02
65536, 26, 1.00, 256970000, 9.72
65536, 27, 1.00, 256910000, 9.71
65536, 28, 1.00, 215038000, 8.13
65536, 29, 1.02, 238102000, 9.00
65536, 30, 1.00, 216235000, 8.18
65536, 31, 1.00, 207224000, 7.84
65536, 32, 1.01, 221227000, 8.37
1.04858e+06, 1, 1.00, 33725000, 1.28
1.04858e+06, 2, 1.00, 65929000, 2.49
1.04858e+06, 3, 1.00, 99890000, 3.78
1.04858e+06, 4, 1.00, 133125000, 5.03
1.04858e+06, 5, 1.00, 154015000, 5.82
1.04858e+06, 6, 1.00, 186405000, 7.05
1.04858e+06, 7, 1.00, 218186000, 8.25
1.04858e+06, 8, 1.00, 255565000, 9.66
1.04858e+06, 9, 1.00, 276526000, 10.46
1.04858e+06, 10, 1.00, 295946000, 11.19
1.04858e+06, 11, 1.00, 315786000, 11.94
1.04858e+06, 12, 1.00, 334569000, 12.65
1.04858e+06, 13, 1.00, 352279000, 13.32
1.04858e+06, 14, 1.00, 371888000, 14.06
1.04858e+06, 15, 1.00, 389253000, 14.72
1.04858e+06, 16, 1.00, 398947000, 15.09
1.04858e+06, 17, 1.00, 387859000, 14.67
1.04858e+06, 18, 1.00, 368282000, 13.93
1.04858e+06, 19, 1.00, 339641000, 12.84
1.04858e+06, 20, 1.01, 342832000, 12.96
1.04858e+06, 21, 1.00, 321116000, 12.14
1.04858e+06, 22, 1.00, 311856000, 11.79
1.04858e+06, 23, 1.02, 270335000, 10.22
1.04858e+06, 24, 1.00, 280891000, 10.62
1.04858e+06, 25, 1.00, 278931000, 10.55
1.04858e+06, 26, 1.00, 263755000, 9.97
1.04858e+06, 27, 1.00, 252826000, 9.56
1.04858e+06, 28, 1.00, 218452000, 8.26
1.04858e+06, 29, 1.00, 224611000, 8.49
1.04858e+06, 30, 1.00, 221805000, 8.39
1.04858e+06, 31, 1.00, 200636000, 7.59
1.04858e+06, 32, 1.02, 208709000, 7.89
